text1,text2,label,similarity_score
Photosynthesis is the process by which plants convert sunlight into chemical energy.,The literature confirms that photosynthesis is the process by which plants convert sunlight into chemical energy.,1,0.72
Mahatma Gandhi led India's independence movement using non-violent civil disobedience.,Mahatma Gandhi led India's independence movement and this has significant implications for modern research.,1,0.66
The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,1,0.74
The Renaissance was a cultural movement that originated in 14th century Italy.,The Renaissance was a cultural movement that originated in 14th century Italy.,1,0.87
Regular physical exercise reduces the risk of cardiovascular disease.,Regular physical exercise notably reduces the risk of cardiovascular disease.,1,0.75
Gravity is a fundamental force that attracts objects with mass toward one another.,Gravity is a fundamental force that attracts typically objects with mass toward one another.,1,0.93
The Milky Way is a barred spiral galaxy containing over 200 billion stars.,spiral galaxy containing over 200 billion stars. The Milky Way is a barred,1,0.72
The flipped classroom model asks students to study content at home and practise in class.,The literature confirms that the flipped classroom model asks students to study content at home and practise in class.,1,0.75
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,Classical music concerts are held in purpose-built concert halls worldwide.,0,0.03
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Carbon capture technology removes CO2 from the atmosphere to reduce warming.,1,0.78
Supply and demand determine the equilibrium price in a free market.,Supply and frequently demand determine the equilibrium price in a free market.,1,0.97
A balanced diet rich in fruits and vegetables supports long-term health.,A balanced diet rich in fruits and vegetables supports long-term health.,1,0.87
Green roofs and urban trees reduce city temperatures and improve air quality.,Scholars generally agree that green roofs and urban trees reduce city temperatures and improve air quality.,1,0.78
Early detection significantly improves survival rates in most forms of cancer.,Evidence suggests that early detection significantly improves survival rates in most forms of cancer.,1,0.73
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Current understanding holds that carbon capture technology removes CO2 from the atmosphere to reduce warming.,1,0.62
The nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,The nitrogen cycle is disrupted by and further study continues to refine our understanding.,1,0.53
Fiscal policy involves government spending and taxation to influence the economy.,Fiscal policy involves government spending and which is a key concept in this domain.,1,0.59
Unemployment rate measures the percentage of the labour force without a job.,the labour force without a job. Unemployment rate measures the percentage of,1,0.79
Federated learning trains models across multiple devices without sharing raw data.,The library catalogues its collection using the Dewey Decimal Classification system.,0,0.08
Quantitative easing involves central banks purchasing securities to inject money.,Quantitative notably easing involves central banks purchasing securities to inject money.,1,0.92
